time,size
25.116443634033203,10
25.5434513092041,86
25.238037109375,163
25.021076202392578,240
25.501251220703125,317
25.543928146362305,240
25.9091854095459,317
25.512218475341797,317
25.808334350585938,394
25.870561599731445,394
25.7565975189209,394
25.56777000427246,394
25.651216506958008,471
26.290416717529297,548
25.99787712097168,548
26.227712631225586,548
26.215791702270508,625
26.428937911987305,625
26.241779327392578,779
26.101350784301758,779
26.26633644104004,779
26.19314193725586,779
25.828838348388672,779
26.41153335571289,779
26.201963424682617,779
25.99501609802246,779
26.380062103271484,779
26.267051696777344,779
26.164531707763672,779
25.797605514526367,779
26.478290557861328,779
26.72743797302246,779
None,779
26.488780975341797,779
26.287078857421875,779
25.992870330810547,779
26.214599609375,779
26.27706527709961,779
26.052474975585938,779
26.154756546020508,779
26.623249053955078,779
26.211261749267578,779
26.593685150146484,779
26.18861198425293,779
26.415109634399414,779
26.440858840942383,779
26.676177978515625,856
26.65424346923828,856
26.674985885620117,856